name,cusip,twitter,tweet_date,tweet_text
ISHARES INC,46434G822,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES INC,46434G830,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES INC,46434G848,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES INC,46434G855,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287101,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287150,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287168,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287176,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287184,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
ISHARES TR,464287192,iSharesCanada,2024-03-04 23:19:08.102328,"Hey @iSharesCanada Did you know that on 2023-12-31 the following hedge funds reported a short against you? Check these link(s): 

    {'CITADEL ADVISORS LLC': 'https://www.sec.gov/Archives/edgar/data/1423053/0000950123-23-010889.txt
 'CAPITAL FUND MANAGEMENT': 'https://www.sec.gov/Archives/edgar/data/1323645/0001323645-24-000002.txt'}"
