nameOfIssuer,nameOfIssuer_link,cusip,value,fund_name
DISNEY WALT CO,"<a href=""http://www.google.com/search?q=stock price DISNEY WALT CO"" 
        target=""_blank"">DISNEY WALT CO</a>",254687106,1481342885,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
CITIGROUP INC,"<a href=""http://www.google.com/search?q=stock price CITIGROUP INC"" 
        target=""_blank"">CITIGROUP INC</a>",172967424,1454455712,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
BOEING CO,"<a href=""http://www.google.com/search?q=stock price BOEING CO"" 
        target=""_blank"">BOEING CO</a>",097023105,1418980908,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
PALO ALTO NETWORKS INC,"<a href=""http://www.google.com/search?q=stock price PALO ALTO NETWORKS INC"" 
        target=""_blank"">PALO ALTO NETWORKS INC</a>",697435105,1385582144,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
GOLDMAN SACHS GROUP INC,"<a href=""http://www.google.com/search?q=stock price GOLDMAN SACHS GROUP INC"" 
        target=""_blank"">GOLDMAN SACHS GROUP INC</a>",38141G104,1340550750,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
BANK AMERICA CORP,"<a href=""http://www.google.com/search?q=stock price BANK AMERICA CORP"" 
        target=""_blank"">BANK AMERICA CORP</a>",060505104,1253705817,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc', 'III Capital Management ']"
ELI LILLY & CO,"<a href=""http://www.google.com/search?q=stock price ELI LILLY & CO"" 
        target=""_blank"">ELI LILLY & CO</a>",532457108,1188340712,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
INTEL CORP,"<a href=""http://www.google.com/search?q=stock price INTEL CORP"" 
        target=""_blank"">INTEL CORP</a>",458140100,1183332225,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
COSTCO WHSL CORP NEW,"<a href=""http://www.google.com/search?q=stock price COSTCO WHSL CORP NEW"" 
        target=""_blank"">COSTCO WHSL CORP NEW</a>",22160K105,1105501984,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
PAYPAL HLDGS INC,"<a href=""http://www.google.com/search?q=stock price PAYPAL HLDGS INC"" 
        target=""_blank"">PAYPAL HLDGS INC</a>",70450Y103,1063762443,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
