nameOfIssuer,cusip,value,sshPrnamt
CONCORD ACQUISITION CORP II,20607U108,4361,450000
CONSILIUM ACQUISITN CORP I L,G2365L119,4950,500000
CONSILIUM ACQUISITN CORP I L,G2365L127,176,1950000
CONYERS PARK III ACQSITN COR,21289P102,4374,450000
CORSAIR PARTNERING CORP,G2540H108,578,59014
COVA ACQUISITION CORP,G2554Y120,4647,467279
CRESCERA CAP ACQUISITION COR,G26507106,193,19300
CRESCERA CAP ACQUISITION COR,G26507114,2179,217444
DA32 LIFE SCNCE TEC ACQSTN C,23312M106,4379,450000
DATA KNIGHTS ACQUISITION COR,237699111,5180,500000
DEEP LAKE CAPITAL ACQUSTN CO,G27029118,1839,184800
DEEP MEDICINE ACQUISITION CO,243733110,59,1500000
DELL TECHNOLOGIES INC,24703L202,14072,411813
DENALI CAPITAL ACQUISITN COR,G6256B114,2827,280689
DHB CAPITAL CORP,23291W117,795,80841
DILA CAPITAL ACQUISITION COR,254028111,119,11986
DUET ACQUISITION CORP,26431Q106,4455,450000
DUET ACQUISITION CORP,26431Q114,7425,750000
EAST STONE ACQUISITION CORP,G2911D132,14,50100
EDIFY ACQUISITION CORP,28059Q111,4553,460373
EDOC ACQUISITION CORP,G4000A110,983,191073
EDOC ACQUISITION CORP,G4000A136,105,1500000
EDTECHX HOLDINGS ACQU CORP I,28139A110,3360,328416
EF HUTTON ACQUISITION CORP I,28201D208,9900,990000
EMBRACE CHANGE ACQUISITN COR,G3034H133,1265,125000
EMERGING MARKETS HORIZON COR,G3033X121,6010,601000
EMPOWERMENT & INCLUSION CAPI,29248N118,4940,500000
ENERGEM CORP,G30449121,2516,247997
ENOVA INTL INC,29357K103,14452,493755
ENPHYS ACQUISITION CORP,G3167L109,4390,450000
EPIPHANY TECHNOLOGY ACQUISIT,29429X117,4940,500000
EQ HEALTH ACQUISITION CORP,26886A119,1639,165994
ESAB CORPORATION,29605J106,11253,337333
EVEREST CONSOLIDATOR ACQ COR,29978K110,2879,286430
EVERGREEN CORPORATION,G3312W117,9576,950000
EXTERRAN CORP,30227H106,5495,1320809
FAST ACQUISITION CORP II,311874101,175,17820
FEUTUNE LIGHT ACQUISITION CO,31561T102,3500,350749
FEUTUNE LIGHT ACQUISITION CO,31561T110,8490,850749
FEUTUNE LIGHT ACQUISITION CO,31561T128,111,1850749
FG MERGER CORP,30324Y101,3006,300000
FG MERGER CORP,30324Y119,4013,400495
FINANCIAL STRATEGIES ACQUISI,31772T115,5015,500000
FINANCIAL STRATEGIES ACQUISI,31772T123,75,1500000
FINNOVATE ACQUISITION CORP,G3R34K111,8249,817534
FIRST HORIZON CORPORATION,320517105,17311,755948
FLUOR CORP NEW,343412102,14632,587883
FOCUS IMPACT ACQUISITION COR,34417L117,1786,178252
FORTUNE BRANDS HOME & SEC IN,34964C106,14110,262805
FRONTIER INVESTMENT CORP,G36816125,445,45215
FTAC EMERALD ACQUISITION COR,29103K100,4415,450000
FTAC ZEUS ACQUISITION COR,30320F106,2615,260237
FUTURETECH II ACQUISITION CO,36119D111,9504,944740
G&P ACQUISITION CORP,36146G111,422,42270
GALATA ACQUISITION CORP,G3R23A108,4995,500000
GAMES & ESPORTS EXPRNC ACQ C,G3731J127,2470,243364
GAMING & HOSPITALITY ACQU CO,364681114,2407,244346
GENESIS UNICORN CAPITAL CORP,37187C118,8602,862800
GLOBAL BLOCKCHAIN ACQUI CORP,37961B104,4442,450000
GLOBAL BLOCKCHAIN ACQUI CORP,37961B112,105,1500000
GLOBAL BLOCKCHAIN ACQUI CORP,37961B120,4935,500000
GLOBAL STAR ACQUISITION INC,37962G201,2600,260000
GLOBALINK INVT INC,37892F117,332,1950000
GLOBALINK INVT INC,37892F125,9462,950000
GOAL ACQUISITIONS CORP,38021H115,6691,679300
GOLDEN ARROW MERGER CORP,380799114,2040,207947
GOLDENBRIDGE ACQUISITION LTD,G3970D120,3474,677258
GOLDENBRIDGE ACQUISITION LTD,G3970D138,225,1500000
GOLDENSTONE ACQUISITION LTD,38136Y102,1881,189272
GOLDENSTONE ACQUISITION LTD,38136Y110,6993,703545
GOLDENSTONE ACQUISITION LTD,38136Y128,292,1495943
GORES HOLDINGS IX INC,38287A101,4356,450000
GRAF ACQUISITION CORP IV,384272100,1792,183800
GSR II METEORA ACQUISITN COR,36263W105,4473,450000
GSR II METEORA ACQUISITN COR,36263W113,195,150000
GX ACQUISITION CORP II,36260F113,1878,191400
HAINAN MANASLU ACQUISTN CORP,G4233U107,747,75000
HAINAN MANASLU ACQUISTN CORP,G4233U115,110,1575000
HAINAN MANASLU ACQUISTN CORP,G4233U131,5727,575000
